ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,0F125FF720445D2AA6A10CF24876741CD0DCAC63.STORY,SYSSUM.TXT,0.51351,0.13380,0.21229,1
ROUGE-1,0C8976351E70C6ED35DB0CFE5A89962821734CD5.STORY,SYSSUM.TXT,0.44828,0.08125,0.13757,1
ROUGE-1,11685CA47EF887009CAA65DBA6606BAC149195FF.STORY,SYSSUM.TXT,0.58696,0.12329,0.20377,1
ROUGE-1,155726819D306DD5A00F27FE192931AC992F4FAC.STORY,SYSSUM.TXT,0.48333,0.10432,0.17160,1
ROUGE-1,05BE1F9ED56DC98DA8ED902E00C96DDCC5B1C1C7.STORY,SYSSUM.TXT,0.62963,0.15247,0.24549,1
ROUGE-1,0CD06ECBB1EAF661FF2F694A7EEBDBA944D69DA3.STORY,SYSSUM.TXT,0.57407,0.15578,0.24506,1
ROUGE-1,0545AACD79B2D10262CCB3230217A5F8DB6765A5.STORY,SYSSUM.TXT,0.58140,0.11574,0.19305,1
ROUGE-1,0B7754C25239E33FD9AD90F173ED4355CC5AC29C.STORY,SYSSUM.TXT,0.64151,0.10526,0.18085,1
ROUGE-1,00E4F4EA4579FB9752134E5390E3BB24F8AA8E3D.STORY,SYSSUM.TXT,0.57895,0.10000,0.17054,1
ROUGE-1,106BA6433D078ACDDB99CE66C0C0AB6CB0D80FE2.STORY,SYSSUM.TXT,0.50000,0.03846,0.07143,1
ROUGE-1,162283BEEB2BEDC2D6A3BE2A5EF92775D6F17A26.STORY,SYSSUM.TXT,0.40385,0.07836,0.13125,1
ROUGE-1,0BA6EE01329BF2D52FC97775B8F8E475204CE057.STORY,SYSSUM.TXT,0.44444,0.08187,0.13827,1
ROUGE-1,023F86BA6BC4C6927212F2C20AED0D9A2F90CAB1.STORY,SYSSUM.TXT,0.44444,0.12698,0.19753,1
ROUGE-1,0C10071C62B3DE336EDFAB69731C1F04A80DED65.STORY,SYSSUM.TXT,0.86842,0.14286,0.24535,1
ROUGE-1,1B14A0A427F994648217C771E02DC1A460805CD1.STORY,SYSSUM.TXT,0.25424,0.12500,0.16760,1
ROUGE-1,05CDE9CDDC9F7A0470658F08B6AC4C5C14DD5E29.STORY,SYSSUM.TXT,0.57692,0.10067,0.17143,1
ROUGE-1,0F04A4604075976A07CF2A9BC23CC98B6EDDA5C8.STORY,SYSSUM.TXT,0.60870,0.10980,0.18605,1
ROUGE-1,175639863045A47DB757A4CE9CBC808A0AE38F76.STORY,SYSSUM.TXT,0.45000,0.20225,0.27907,1
ROUGE-1,097688E1A5077EDD2875AAAC19CA4B22A8C668D2.STORY,SYSSUM.TXT,0.39535,0.15179,0.21935,1
ROUGE-1,17A2A7716F241170AA2F155EFA0AE754C69148B0.STORY,SYSSUM.TXT,0.52727,0.07713,0.13457,1
ROUGE-1,041FC845B0A47804CEFA96AF945278C7A18033FF.STORY,SYSSUM.TXT,0.47826,0.07509,0.12979,1
ROUGE-1,13A1BABB5306052CB82EBE22B032A14BF8613B86.STORY,SYSSUM.TXT,0.47619,0.15873,0.23810,1
ROUGE-1,1A04049012F8F01518B1209F49312E872681FB67.STORY,SYSSUM.TXT,0.56757,0.09292,0.15970,1
ROUGE-1,050447B58FFC927F3B91492692658EA4BFAB6526.STORY,SYSSUM.TXT,0.54167,0.09886,0.16720,1
ROUGE-1,1A7E1FCE0994BDCB29D9146DF78DC5CF9B8A2206.STORY,SYSSUM.TXT,0.64151,0.13127,0.21795,1
ROUGE-1,006F475A6F4C972D20C491433156A6C28CFACD99.STORY,SYSSUM.TXT,0.47059,0.15686,0.23529,1
ROUGE-1,07D4F94C79DB22935DB60A1B0E1B9F4B6F514949.STORY,SYSSUM.TXT,0.45455,0.12195,0.19231,1
ROUGE-1,09AAA86E296174297B60401BC31A80CA919CB7F4.STORY,SYSSUM.TXT,0.55000,0.12155,0.19910,1
ROUGE-1,1136DE721BEB08ED9798AF7FFF963A89BBA9498E.STORY,SYSSUM.TXT,0.55556,0.14894,0.23490,1
ROUGE-1,0CFC886D9CD02315D7CB3154C13B28498DB72BB9.STORY,SYSSUM.TXT,0.40476,0.05015,0.08924,1
ROUGE-1,13B405C65BFB4B0A57DC1BEA181E52C6A32B6F6B.STORY,SYSSUM.TXT,0.48837,0.16279,0.24419,1
ROUGE-1,1A19CA7F2C0B411415C511A8649002C473807DFB.STORY,SYSSUM.TXT,0.66667,0.03846,0.07273,1
ROUGE-1,0727F66B5A45E24DA68A929A67AE9031CE55AA3E.STORY,SYSSUM.TXT,0.67442,0.15591,0.25328,1
ROUGE-1,137B01783C35E8DEB977CD711E30F40D0AE342EA.STORY,SYSSUM.TXT,0.40000,0.16552,0.23415,1
ROUGE-1,14458C9FF5D4AFCF8D30AC04F3CF0EBC9B980545.STORY,SYSSUM.TXT,0.56818,0.09843,0.16779,1
ROUGE-1,19BEB3290004D7CBF03C7AF7D0617C46E4D986D0.STORY,SYSSUM.TXT,0.58621,0.15179,0.24113,1
ROUGE-1,02BCF4A693C5D7EE6CA36F9A525978EAAC91DCC1.STORY,SYSSUM.TXT,0.81034,0.17091,0.28228,1
ROUGE-1,164474E08B0A2C4236974689932CE5B96D1ECCC1.STORY,SYSSUM.TXT,0.47273,0.19697,0.27807,1
ROUGE-1,1A97A319F6B346F1CA6471F2E8130F5B852F94D5.STORY,SYSSUM.TXT,0.78182,0.17480,0.28571,1
ROUGE-1,0F37160EA9436349D548E12BAFC0A2B24F9BDDDE.STORY,SYSSUM.TXT,0.63158,0.28800,0.39560,1
ROUGE-1,0D6D0F1210B35514CF13C7A137AB9D015A9485EC.STORY,SYSSUM.TXT,0.44000,0.07586,0.12941,1
ROUGE-1,1003E93230A72EA9F602E54547EAF55BF06CE1DD.STORY,SYSSUM.TXT,0.49020,0.12376,0.19763,1
ROUGE-1,1AEAD812231F1FB87495DA07757B132BA85E98CE.STORY,SYSSUM.TXT,0.62963,0.09341,0.16268,1
ROUGE-1,0DDC637ED4660EC333DF523ECBC048BEA5791D62.STORY,SYSSUM.TXT,0.47619,0.12579,0.19900,1
ROUGE-1,0A045DCC5D3FDDAD8617A17DB4FB36E490921B75.STORY,SYSSUM.TXT,0.64865,0.05825,0.10690,1
ROUGE-1,02EE1A991C822C49DADAD05E45FBEF4F213B5E0A.STORY,SYSSUM.TXT,0.57407,0.14554,0.23221,1
ROUGE-1,1232F6DF11B35C14C7FBE7BD8644D7081305E85C.STORY,SYSSUM.TXT,0.39216,0.10050,0.16000,1
ROUGE-1,161834A92CA9C2DF36EECA99165C5499594BDFC7.STORY,SYSSUM.TXT,0.48077,0.17361,0.25510,1
ROUGE-1,0E204F2FDD774DFA1D7A49DEE47EE46CDFE8476E.STORY,SYSSUM.TXT,0.63158,0.21176,0.31718,1
ROUGE-1,02C7C055138C9D1DABCA7915B07EF8AE9E779C5C.STORY,SYSSUM.TXT,0.72000,0.05696,0.10557,1
ROUGE-1,00FCB94B937A62AFC6D4B8EFAC3828DBC1C78549.STORY,SYSSUM.TXT,0.68966,0.26667,0.38462,1
ROUGE-1,124039BEC515EE1345647169BA4B8380CCD943E9.STORY,SYSSUM.TXT,0.28571,0.10000,0.14815,1
ROUGE-1,15BA20A16A85AF58F49A43C326E5A93605806BCB.STORY,SYSSUM.TXT,0.40909,0.07377,0.12500,1
ROUGE-1,16D038BA7BD35D42E308CF41890DECA93F1D8B37.STORY,SYSSUM.TXT,0.58065,0.12587,0.20690,1
ROUGE-1,0CD88BAD249842865F16B69BA2503DEAFACFF3C0.STORY,SYSSUM.TXT,0.27273,0.12329,0.16981,1
ROUGE-1,17402CED52B97DBDEE44087DC26EA9EFA34A5291.STORY,SYSSUM.TXT,0.67308,0.15625,0.25362,1
ROUGE-1,08B95726823AA3D2D75F427E419A7765B4B3CBA3.STORY,SYSSUM.TXT,0.40476,0.14167,0.20988,1
ROUGE-1,125434D4E636E31A189F842AB236ACC74D3B2AB6.STORY,SYSSUM.TXT,0.43750,0.10000,0.16279,1
ROUGE-1,1486BF735A2B6259AA2C511985D1235865281F41.STORY,SYSSUM.TXT,0.62500,0.12545,0.20896,1
ROUGE-1,01AE1CAE6C8925BC1258EFEF1F2120248BED75BA.STORY,SYSSUM.TXT,0.37931,0.08088,0.13333,1
ROUGE-1,0851B4C945B2BBF81EC699A91EA660E0463F0506.STORY,SYSSUM.TXT,0.48718,0.07755,0.13380,1
